Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Cluster
-0.1654055800960332,M,3,3,1,$60K - $80K,0,39,5,1,3,0.4466219030536973,777,11914.0,1.335,-0.9597065735928221,42,1.625,0.061,2
0.33357038345253087,F,5,2,2,Less than $40K,0,44,6,1,2,-0.04136665206187948,864,7392.0,1.541,-0.9164326068430317,33,3.714,0.105,1
0.5830583652268129,M,3,2,1,$80K - $120K,0,36,4,1,0,-0.5736977974168198,0,3418.0,2.594,-0.740981694034358,20,2.333,0.0,1
-0.7891255345317383,F,4,3,3,Less than $40K,0,34,3,4,1,-0.5852510777521379,2517,796.0,1.405,-0.9517582939857177,20,2.333,0.76,2
-0.7891255345317383,M,3,5,1,$60K - $80K,0,21,5,1,0,-0.43087724622403095,0,4716.0,2.175,-1.0562634517828304,28,2.5,0.0,0
-0.29014957098317423,M,2,2,1,$40K - $60K,0,36,3,1,2,-0.5085593025738837,1247,2763.0,1.376,-0.9761918942594089,24,0.846,0.311,1
0.5830583652268129,M,4,6,1,$120K +,1,46,6,1,3,2.848053744180521,2264,32252.0,1.975,-0.9049517585216588,31,0.722,0.066,0
-1.7870774616288665,M,0,3,3,$60K - $80K,3,27,2,2,2,2.250033947776201,1396,27685.0,2.204,-0.8437205674743363,36,0.714,0.048,2
-1.1633575071931614,M,3,5,2,$60K - $80K,0,36,5,2,0,1.5096337251442469,2517,19835.0,3.355,-0.8990641439978777,24,1.182,0.113,0
0.20882639256538985,M,2,2,2,$80K - $120K,0,36,6,3,3,0.3327395683198479,1677,9979.0,1.524,-0.8722754979146742,32,0.882,0.144,1
-0.5396375527574563,M,5,5,3,$120K +,0,31,5,3,2,-0.20729376392530446,1467,5281.0,0.831,-0.9429268722000462,42,0.68,0.217,0
2.3294742376467874,M,1,6,1,$40K - $60K,0,54,6,2,3,0.050949559379376196,1587,7508.0,1.433,-0.9096618501406836,26,1.364,0.174,0
1.206778319662518,M,1,0,2,$80K - $120K,0,36,3,6,0,0.3431925362422785,0,11751.0,3.397,-0.8434261867481473,17,3.25,0.0,1
-1.4128454889674433,M,3,2,3,$60K - $80K,0,30,5,1,3,-0.009347560846855162,1666,6881.0,1.163,-0.9105449923192507,33,2.0,0.195,2
1.331522310549659,F,2,2,1,Less than $40K,0,48,5,2,2,-0.6817484763623658,680,1756.0,1.19,-0.8343003842362867,29,0.611,0.279,1
-0.29014957098317423,M,4,6,3,$80K - $120K,0,37,5,1,2,-0.48391230452520523,972,3262.0,1.707,-0.8996529054502559,27,1.7,0.23,0
0.20882639256538985,M,4,4,2,$80K - $120K,0,36,6,2,3,2.391534124073525,2362,28005.0,1.708,-0.8045679308911927,27,0.929,0.078,0
